aflt_id,biz_no,aflt_nm,zip_cd,addrs,addrs2,small_td,ctgr_cd,business,ctgry,onln_excu_yn,close_yn,ctgrNew
202108102649,6338501067,육회지존,3189,서울특별시 종로구우정국로2길31(관철동),육회지존,1,56113,숙박 및 음식점업,한식 육류 요리 전문점,,,56
201906252434,1011166811,베스킨라빈스동묘역점,3113,서울특별시 종로구종로347,"1층-111, 롯데캐슬천지인",1,56192,음식,프랜차이즈(체인화음식점),Y,,56
201906252436,6423700343,파리바게뜨혜화로타리,3075,서울특별시 종로구창경궁로269,1층,1,56191,음식점업,"제과, 식음료",Y,,56
201906252431,7971100508,파리바게뜨카페삼청점,3057,서울특별시 종로구창덕궁1길42,파리바게뜨카페삼청점,1,56191,음식점업,제과점,Y,,56
202107014207,7696400493,샐러드식당 종로혜화점,3070,서울특별시 종로구명륜길44,1층(명룬3가),1,56199,음식점업,샐러드,,,56
202107016308,1326064514,위티레몬(witty lemon),3115,서울특별시 종로구종로62길23(숭인동),1층 101호(블루카운티 숭인I),1,56221,숙박 및 음식점업,커피 전문점,,,56
202103833867,8122601284,버텍스,3131,서울특별시 종로구돈화문로85(와룡동),지하 1층,1,56191,음식점업,카페,Y,Y,56
202004474016,5010884775,킹스빈경복궁점,3170,서울특별시 종로구사직로130(적선동),지하1층 49호,1,56221,음식,커피,,,56
202107017939,4288500807,정돈 대학로점,3079,서울특별시 종로구대학로9길12(명륜4가),지층,N,56122,음식점업,일식 돈까스,,,56
202107017902,7064400816,스기모토,3053,서울특별시 종로구북촌로5길54(소격동),2층,1,56122,숙박 및 음식점업,일식 음식점업,,,56
201812002076,1011256566,돈치킨 구운치킨,3129,서울특별시 종로구대학로3,1층(효제동),1,56193,음식,치킨,,,56
201912324816,5588200126,한살림서울소비자생활협동조합 요리공간,3176,서울특별시 종로구경희궁길15,지하1층,1,56111,"음식점업,서비스업","한식,쿠킹클래스",Y,,56
202107018396,2981700717,서울집시,3134,서울특별시 종로구서순라길107,서울집시,1,56123,음식업점,양식점,,,56
202107016512,1541201217,광화문 동남집,3173,서울특별시 종로구새문안로5길37(도렴동),도렴빌딩 지하 1층,1,56111,식음료,한식,,,56
202107017644,4143400785,빽다방경복궁역점,3044,서울특별시 종로구사직로127(적선동),적선동93-4,1,56221,"음식점업, 소매업","커피, 커피용품",,,56
202108057354,2184800388,이디야커피 독립문역점,3030,"서울특별시 종로구통일로266,제1층102호(무악동)",이디야(EDIYA),1,56221,숙박 및 음식점업,커피전문점,Y,,56
202201047723,7438102365,(주)알파벳프로퍼티,3059,서울특별시 종로구계동길15(계동),1층,1,56221,숙박 및 음식점업,커피 전문점,,,56
202107019572,4241401518,익스,3133,서울특별시 종로구돈화문로11길26,"6층(돈의동, 삼창빌딩)",1,56219,숙박 및 음식점업,기타 주점업,,,56
202010662719,4711700710,돈통마늘보쌈,3119,서울특별시 종로구종로46길20(창신동),2층,1,56111,음식,한식,,,56
201903128721,1013338113,청고래,3036,서울특별시 종로구자하문로43,2층 13,1,56221,"도소매,음식",갤러리 디자인소품. 카페,,,56
202107021776,5440701866,아토,3122,서울특별시 종로구대학로42-7(효제동),1층,1,56122,숙박 및 음식점업,일식 음식점업,,,56
202107022147,4341101611,메밀란,3145,서울특별시 종로구인사동11길16-4,메밀란,1,56111,음식점업,메밀,,,56
202107021954,2523700932,써브웨이 종로5가점,3129,서울특별시 종로구종로213-1(종로5가),1층,1,56129,음식점업,샌드위치,,,56
202107023166,6010663891,마샹스 (ma chance),3044,"서울특별시 종로구자하문로36,1층(통의동)",마샹스 (ma chance),1,56199,숙박 및 음식점업,간이 음식 포장 판매 전문점,,,56
202107023168,6973200431,크리스탈드래곤,3161,서울특별시 종로구종로51지하2층207호,크리스탈드래곤,1,56121,숙박 및 음식점업,중식 음식점업,,,56
202107010974,8360701315,메가커피 경복궁역점,3041,서울특별시 종로구자하문로11-1(체부동),메가커피 경복궁역점,1,56221,숙박 및 음식점업,커피 전문점,Y,,56
201907271360,2928500945,생활맥주 광화문점,3182,서울특별시 종로구새문안로5길11-7,1층 생활맥주 광화문점,1,56213,음식,호프,,,56
201907271364,7628501138,생활맥주 종각점,3189,서울특별시 종로구우정국로2길37,1층 생활맥주 종각점,1,56213,음식,호프,,,56
202107010965,1308197182,메가커피 광장시장남2문점,3195,서울특별시 종로구청계천로203-1(예지동),메가커피 광장시장남2문점,1,56221,숙박 및 음식점업,커피 전문점,Y,,56
202103828187,4831501625,메가커피 종로공평점,3158,서울특별시 종로구삼봉로100(공평동),영원빌딩 1층,1,56221,숙박 및 음식점업,커피전문점,Y,,56
201812004765,2972700538,잼잼파스탕,3073,서울특별시 종로구성균관로1길8(명륜3가),1층 잼잼파스탕,1,56123,일반음식점,경양식,Y,,56
