aflt_id,biz_no,aflt_nm,zip_cd,addrs,addrs2,small_td,ctgr_cd,business,ctgry,onln_excu_yn,close_yn,ctgrNew
202203075676,7090102913,어나더이어,3454,서울특별시 은평구은평로8길25(응암동),1층 101호 우측,1,56191,음식점업,제과점업,,,56
201903121973,3133200310,한판승부,3329,서울특별시 은평구통일로83길18(갈현동),1층 한판승부,1,56113,음식점업,일식음식점업,,,56
201904134440,1102050014,우리동네뼈해장국,3355,서울특별시 은평구불광로91,"(불광동, 1층)",1,56111,음식점업,한식,,,56
201904138593,4292100827,제주해룡,3406,서울특별시 은평구연서로4길13(역촌동),1층제주해룡,1,56114,음식점,한식,,,56
201904142511,1100899145,탐나도다,3330,서울특별시 은평구통일로83길5-14(갈현동),1층,1,56221,음식점업,까페,,,56
201904142366,7010500807,옥이네김밥,3345,서울특별시 은평구연서로247(불광동),1층,1,56111,음식점,한식,,,56
201904146747,1102051973,옛날통닭,3397,서울특별시 은평구통일로707,옛날통닭,1,56111,음식,일반음식점,,,56
201904146826,1281394617,요기,3355,서울특별시 은평구불광로99-1,1층,1,56219,음식,간이주점,,,56
201904147254,1101754494,두꺼비집,3385,서울특별시 은평구연서로28길5,두꺼비집,1,56111,서비스,한식,,,56
201904146685,1110182503,쇼킹,3386,서울특별시 은평구연서로26길6,지하,1,56219,음식,단란주점,,,56
201904146762,7814100418,네모횟집,3311,서울특별시 은평구진관1로21-39,101호,1,56122,음식점업,회,,,56
201904151416,1101636596,정을순황금참치,3484,서울특별시 은평구가좌로237,정을순황금참치,1,56111,음식점업,한식점업,,,56
201904156590,6702100629,투투노래팡,3485,서울특별시 은평구응암로13길5,지하1층,1,56211,음식,유흥주점,,,56
201904156179,2241992355,가마치통닭,3423,서울특별시 은평구은평로37,가마치통닭,1,56193,음식점업,치킨,,,56
201904157860,6570300113,우메다,3311,서울특별시 은평구진관1로21-39,105호,1,56194,음식점업,"라면,분식",,,56
202011674911,7296500420,서남갈비,3368,서울특별시 은평구진흥로15길18(불광동),1층 우측호,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
201904155966,5941200736,카페밀도,3464,서울특별시 은평구응암로294,1층,1,56221,휴게음식,커피,Y,Y,56
201904157895,5448501049,"루덴스키친, 타파스",3397,서울특별시 은평구통일로709,2층,1,56111,음식점업,한식,,,56
201904144553,3521500322,해피송,3455,서울특별시 은평구불광천길486,1층101호(응암점),1,56111,음식점업,치킨호프,,,56
201905243476,3104000427,옛날세마리치킨,3396,서울특별시 은평구진흥로13길14(대조동),1층코너,1,56193,음식,닭강정,,,56
202011675684,3430401812,미미샌드위치 앤 커피,3386,서울특별시 은평구통일로73길28-1(대조동),1층 2호,1,56192,음식점업,"샌드위치, 커피",,,56
202203085460,2112566226,스시벅스 응암점,3460,서울특별시 은평구은평로157(응암동),서울빌딩,N,56122,일식,초밥,,,56
201904173573,1101195417,두바이,3368,서울특별시 은평구통일로714,2층,1,56211,음식,유흥주점,,,56
202203085353,3473600908,더강정다움,3454,서울특별시 은평구응암로321(응암동),1층 101호(웨스트원 응암),1,56194,숙박 및 음식점업,김밥 및 기타 간이 음식점업,,,56
201901017578,1101780518,메밀이 생각날때,3384,"서울특별시 은평구녹번로12(녹번동,글로리빌)",1층,1,56111,음식,한식,,,56
201812006415,1100853358,성원기사식당,3499,서울특별시 은평구증산로9길7,성원기사식당1층,2,56111,음식,한식,,,56
201812006416,1101790073,화화,3402,서울특별시 은평구역말로52,좌측 1층,1,56111,음식,한식,Y,Y,56
201812005484,5200400216,피자헛 구산점,3412,서울특별시 은평구서오릉로145,1층 피자헛(구산동),2,56192,음식점업,프랜차이즈음식점업(피자 외),,,56
201904177489,1110244715,삼천상회,3308,서울특별시 은평구연서로54길56(진관동),1층,1,56111,음식,한식,Y,Y,56
201903121978,6522900063,KAFFEEKLATSCH,3330,서울특별시 은평구연서로29길22-38(갈현동),1층 카페클라츠,1,56221,음식점업,카페,,,56
201907264669,8583100188,북한산아구랑명태랑,3307,서울특별시 은평구대서문길13-11(진관동),1층 진관동,1,56111,음식점업,한식,,,56
201904138935,4236600266,대림손만두,3480,서울특별시 은평구응암로4길20,118호,1,56194,음식점업,분식,,,56
201907276030,6301001148,언덕마을식빵,3466,서울특별시 은평구응암로22길31(응암동),언덕마을식빵,1,56191,숙박및음식점업,제과점외,,,56
201812010654,1101430448,담터,3481,서울특별시 은평구가좌로7다길5,1층,1,56111,음식,한식,,,56
201908288353,3320601403,삼대맛집 명인멸치 손칼국수 순대국,3380,서울특별시 은평구서오릉로20(녹번동),1층,1,56111,음식점업,한식,Y,,56
201904226156,4610100954,콤마 커피,3418,서울특별시 은평구연서로3길12,1층,1,56221,음식점업,카페,Y,Y,56
201904226164,5371800851,피자스쿨은평뉴타운점,3303,서울특별시 은평구진관4로47,708동 상가107호,1,56192,음식점,피자,,,56
